@RELATION drive
@ATTRIBUTE Velocity NUMERIC
@ATTRIBUTE LateralVelocity NUMERIC
@ATTRIBUTE LaneOffset NUMERIC
@ATTRIBUTE LatAcc NUMERIC
@ATTRIBUTE LonAcc NUMERIC
@ATTRIBUTE HeadingError NUMERIC
@ATTRIBUTE Lane NUMERIC
@ATTRIBUTE previousSteer NUMERIC
@ATTRIBUTE previousThrottle NUMERIC
@ATTRIBUTE previousBrake NUMERIC
@ATTRIBUTE stopDelay NUMERIC
@ATTRIBUTE STOP NUMERIC
@ATTRIBUTE SpeedLimit NUMERIC
@ATTRIBUTE IntersectionLeftTurn NUMERIC
@ATTRIBUTE IntersectionRightTurn NUMERIC
@ATTRIBUTE IntersectionLeftIntersection NUMERIC
@ATTRIBUTE IntersectionRightIntersection NUMERIC
@ATTRIBUTE LightDistance NUMERIC
@ATTRIBUTE LightStatus NUMERIC
@ATTRIBUTE DistanceOfNextTurn NUMERIC
@ATTRIBUTE AngleOfNextTurn NUMERIC
@ATTRIBUTE DistanceOfLastTurn NUMERIC
@ATTRIBUTE AngleOfLastTurn NUMERIC
@ATTRIBUTE OtherVehicleRay1_D NUMERIC
@ATTRIBUTE OtherVehicleRay1_DeltaV NUMERIC
@ATTRIBUTE OtherVehicleRay2_D NUMERIC
@ATTRIBUTE OtherVehicleRay2_DeltaV NUMERIC
@ATTRIBUTE OtherVehicleRay3_D NUMERIC
@ATTRIBUTE OtherVehicleRay3_DeltaV NUMERIC
@ATTRIBUTE OtherVehicleRay4_D NUMERIC
@ATTRIBUTE OtherVehicleRay4_DeltaV NUMERIC
@ATTRIBUTE Steer NUMERIC
@ATTRIBUTE Brake NUMERIC
@ATTRIBUTE Throttle NUMERIC
@DATA
33.59188,-0.001877,-0.146363,0.056634,0.717357,2.0217894055100832E-4,1.0,0.046467,18.800726,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1115.0956961340141,6.99999953831504,300.0,0.0,58.07191,-33.158922018090095,300.0,0.0,300.0,0.0,300.0,0.0,0.037902,0.0,18.800726
34.151367,-0.002088,-0.142738,-0.002398,0.490008,7.40805001009006E-4,1.0,-0.015524,14.702164,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1108.7827255288873,6.99999953831504,300.0,0.0,51.849772,-33.724352141231336,300.0,0.0,300.0,0.0,300.0,0.0,-0.007797,0.0,14.702164
34.605392,0.004082,-0.137477,0.053402,0.483047,0.0011016518238587832,1.0,0.060608,14.702164,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1102.3789406452736,6.99999953831504,300.0,0.0,45.519377,-34.30874089541562,300.0,0.0,300.0,0.0,300.0,0.0,0.058662,0.0,14.606849
34.614902,-0.003684,-0.124051,0.050534,-0.197096,0.002886704769628562,1.0,0.029147,0.0,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1095.919662483848,6.99999953831504,300.0,0.0,39.108452,-34.41011417573898,300.0,0.0,300.0,0.0,300.0,0.0,0.027945,0.0,0.0
34.43144,-8.3E-4,-0.102049,0.039392,-0.196408,0.003960658218258184,1.0,0.030674,0.0,0.0,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1089.4891431152266,6.99999953831504,300.0,0.0,32.737168,-34.189257454042426,300.0,0.0,300.0,0.0,300.0,0.0,0.02872,0.0,0.0
33.587639,-0.003585,-0.074653,0.042182,-1.268204,0.005093341996217454,1.0,0.031328,0.0,18.840219,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1083.3917318447832,6.99999953831504,300.0,0.0,26.881883,-33.0760287045798,300.0,0.0,300.0,0.0,300.0,0.0,0.028587,18.615604,0.0
32.378501,-0.002723,-0.040085,0.040497,-1.548922,0.0062584539916787545,1.0,0.029419,0.0,18.390989,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1077.2452306034288,6.99999953831504,300.0,0.0,21.131854,-31.20353896272033,300.0,0.0,300.0,0.0,300.0,0.0,0.02856,23.66947,0.0
27.985723,-0.002915,2.41E-4,0.034248,-7.133426,0.007419551729860682,1.0,0.029757,0.0,151.588409,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1071.2976815907587,6.99999953831504,300.0,0.0,15.84337,-25.572405549983472,300.0,0.0,300.0,0.0,300.0,0.0,0.030025,175.060822,0.0
21.235269,4.59E-4,0.035071,0.028478,-7.768685,0.008447114326972352,1.0,0.032116,0.0,239.244904,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1066.888400181966,6.99999953831504,300.0,0.0,12.318201,-17.011239673334956,300.0,0.0,300.0,0.0,300.0,0.0,0.0331,247.106461,0.0
13.722025,0.004792,0.065842,0.014287,-7.659155,0.009367932587031946,1.0,0.041263,0.0,239.244904,0.0,300.0,35.0,300.0,300.0,300.0,300.0,300.0,0.0,1063.5043107442111,6.99999953831504,300.0,0.0,10.305926,-6.5627358090154955,300.0,0.0,300.0,0.0,300.0,0.0,0.042285,237.223343,0.0
